dataset,encoder,classifier,true_label,predicted_label,count
MetaSMS,fasttext,logreg,ham,spam,857
MetaSMS,fasttext,logreg,ham,smishing,320
MetaSMS,fasttext,logreg,spam,ham,113
MetaSMS,fasttext,logreg,spam,spam,1899
MetaSMS,fasttext,logreg,spam,smishing,802
MetaSMS,fasttext,logreg,smishing,ham,67
MetaSMS,fasttext,logreg,smishing,spam,1562
MetaSMS,fasttext,logreg,smishing,smishing,3433
MetaSMS,fasttext,rf,ham,ham,37324
MetaSMS,fasttext,rf,ham,spam,97
MetaSMS,fasttext,rf,ham,smishing,190
MetaSMS,fasttext,rf,spam,ham,151
MetaSMS,fasttext,rf,spam,spam,1474
MetaSMS,fasttext,rf,spam,smishing,1189
MetaSMS,fasttext,rf,smishing,ham,131
MetaSMS,fasttext,rf,smishing,spam,491
MetaSMS,fasttext,rf,smishing,smishing,4440
MetaSMS,fasttext,svm,ham,ham,37030
MetaSMS,fasttext,svm,ham,spam,325
MetaSMS,fasttext,svm,ham,smishing,256
MetaSMS,fasttext,svm,spam,ham,202
MetaSMS,fasttext,svm,spam,spam,1357
MetaSMS,fasttext,svm,spam,smishing,1255
MetaSMS,fasttext,svm,smishing,ham,128
MetaSMS,fasttext,svm,smishing,spam,941
MetaSMS,fasttext,svm,smishing,smishing,3993
