dataset,encoder,classifier,true_label,predicted_label,count
MetaSMS,fasttext,logreg,ham,spam,1525
MetaSMS,fasttext,logreg,ham,smishing,780
MetaSMS,fasttext,logreg,spam,ham,187
MetaSMS,fasttext,logreg,spam,spam,1798
MetaSMS,fasttext,logreg,spam,smishing,829
MetaSMS,fasttext,logreg,smishing,ham,115
MetaSMS,fasttext,logreg,smishing,spam,1599
MetaSMS,fasttext,logreg,smishing,smishing,3348
MetaSMS,fasttext,rf,ham,ham,37234
MetaSMS,fasttext,rf,ham,spam,112
MetaSMS,fasttext,rf,ham,smishing,265
MetaSMS,fasttext,rf,spam,ham,202
MetaSMS,fasttext,rf,spam,spam,1460
MetaSMS,fasttext,rf,spam,smishing,1152
MetaSMS,fasttext,rf,smishing,ham,180
MetaSMS,fasttext,rf,smishing,spam,480
MetaSMS,fasttext,rf,smishing,smishing,4402
MetaSMS,fasttext,svm,ham,ham,36369
MetaSMS,fasttext,svm,ham,spam,599
MetaSMS,fasttext,svm,ham,smishing,643
MetaSMS,fasttext,svm,spam,ham,351
MetaSMS,fasttext,svm,spam,spam,1125
MetaSMS,fasttext,svm,spam,smishing,1338
MetaSMS,fasttext,svm,smishing,ham,267
MetaSMS,fasttext,svm,smishing,spam,899
MetaSMS,fasttext,svm,smishing,smishing,3896
