dataset,model_key,hf_id,n_train,n_val,n_test,val_macro_f1,val_accuracy,test_macro_f1,test_accuracy,test_f1_ham,test_f1_spam,test_f1_smishing,fit_time_s,predict_time_s
MetaSMS,beto,dccuchile/bert-base-spanish-wwm-cased,363891,45486,45487,0.9099611138871818,0.9762124609770039,0.9055565829382548,0.9744102710664585,0.995419117549427,0.817916970138383,0.9033336611269545,6284.518606026191,90.41537773888558
MetaSMS,roberta-es,BSC-LT/MrBERT-es,363891,45486,45487,0.9247700056649638,0.9799938442597722,0.9247674272666714,0.9797524567458834,0.9965222470001062,0.856192236598891,0.9215877982010168,8129.735174308065,115.80928684724495
MetaSMS,mbert,bert-base-multilingual-cased,363891,45486,45487,0.9141777606260882,0.9772237611572792,0.9117150637803402,0.9761909996262669,0.995778125912748,0.8291521699322468,0.9102148954960259,6392.331805468071,89.78092241706327
MetaSMS,xlm-r,xlm-roberta-base,363891,45486,45487,0.911355004449007,0.9764103240557535,0.9089583217207707,0.9755754391364566,0.9960830135567564,0.8262366370719333,0.9045553145336226,6537.08333496796,85.32868625828996
MetaSMS,mdeberta,microsoft/mdeberta-v3-base,363891,45486,45487,0.3017437452615618,0.8268698060941828,0.30174011408216805,0.8268516279376525,0.9052203422465042,0.0,0.0,4189.207855247892,62.29972901241854
MetaSMS,distilbert,distilbert-base-multilingual-cased,363891,45486,45487,0.918713987142474,0.9784109396297762,0.9167931406342683,0.9772462461802273,0.9958840087099686,0.8427971517253972,0.9116982614674394,3345.3435326372273,47.84262590808794
MetaSMS,minilm,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,363891,45486,45487,0.9154236312441829,0.9775095633821396,0.914979791734016,0.9768725130256997,0.9958831341301461,0.8374795714545125,0.9115766696173896,2593.6976353330538,34.06386839970946
MetaSMS,securebert2,cisco-ai/SecureBERT2.0-base,363891,45486,45487,0.9241179273204047,0.9800378138328277,0.925367240997803,0.9796645195330534,0.99650512271936,0.858274806410949,0.9213217938630999,8033.319514052942,115.3703849799931
