model_key,n_samples,macro_f1,accuracy
beto,382,0.9096470060190732,0.9319371727748691
roberta-es,382,0.9494251119251119,0.9659685863874345
mbert,382,0.9270498397996287,0.9476439790575916
xlm-r,382,0.9543486375513252,0.9659685863874345
mdeberta,382,0.13165266106442577,0.24607329842931938
distilbert,382,0.9407407407407407,0.9581151832460733
minilm,382,0.9487930819957695,0.9633507853403142
securebert2,382,0.9694882184256484,0.9790575916230366
