dataset,encoder,classifier,true_label,predicted_label,count
MetaSMS,fasttext,logreg,ham,spam,1909
MetaSMS,fasttext,logreg,ham,smishing,610
MetaSMS,fasttext,logreg,spam,ham,176
MetaSMS,fasttext,logreg,spam,spam,2029
MetaSMS,fasttext,logreg,spam,smishing,609
MetaSMS,fasttext,logreg,smishing,ham,115
MetaSMS,fasttext,logreg,smishing,spam,1508
MetaSMS,fasttext,logreg,smishing,smishing,3439
MetaSMS,fasttext,rf,ham,ham,37236
MetaSMS,fasttext,rf,ham,spam,148
MetaSMS,fasttext,rf,ham,smishing,227
MetaSMS,fasttext,rf,spam,ham,228
MetaSMS,fasttext,rf,spam,spam,1598
MetaSMS,fasttext,rf,spam,smishing,988
MetaSMS,fasttext,rf,smishing,ham,181
MetaSMS,fasttext,rf,smishing,spam,467
MetaSMS,fasttext,rf,smishing,smishing,4414
MetaSMS,fasttext,svm,ham,ham,36321
MetaSMS,fasttext,svm,ham,spam,812
MetaSMS,fasttext,svm,ham,smishing,478
MetaSMS,fasttext,svm,spam,ham,354
MetaSMS,fasttext,svm,spam,spam,1426
MetaSMS,fasttext,svm,spam,smishing,1034
MetaSMS,fasttext,svm,smishing,ham,273
MetaSMS,fasttext,svm,smishing,spam,928
MetaSMS,fasttext,svm,smishing,smishing,3861
