val_macro_f1,val_accuracy,test_macro_f1,test_accuracy,test_f1_ham,test_f1_spam,test_f1_smishing,fit_time_s,predict_time_s,dataset,model_key,n_train,n_val,n_test
0.0,0.0,0.5288395234972906,0.7197,0.8557323093801427,0.39115411195577054,0.3396321491559587,0.0,65.47445516614243,MetaSMS,phi4_mini_zero-shot_basic_direct,0,0,10000
0.0,0.0,0.5065310485952855,0.704,0.8397042410714286,0.29055690072639223,0.3893320039880359,0.0,69.04999575717375,MetaSMS,phi4_mini_zero-shot_expert_direct,0,0,10000
0.0,0.0,0.48388481446388726,0.6939,0.8258734390346569,0.16795580110497238,0.4578252032520325,0.0,285.77019541105255,MetaSMS,phi4_mini_zero-shot_expert_cot,0,0,10000
0.0,0.0,0.5317294769935468,0.7779,0.8904946462589503,0.1936416184971098,0.51105216622458,0.0,279.99117905832827,MetaSMS,phi4_mini_few-shot_expert_cot,0,0,10000
0.0,0.0,0.6134988443021929,0.825,0.9321272773928663,0.2796352583586626,0.6287339971550497,0.0,69.13865186786279,MetaSMS,gemma3_4b_zero-shot_basic_direct,0,0,10000
0.0,0.0,0.5386643954470149,0.6851,0.8241206030150754,0.1568851989693673,0.6349873843566022,0.0,66.17082818504423,MetaSMS,gemma3_4b_zero-shot_expert_direct,0,0,10000
0.0,0.0,0.5000780966826173,0.6447,0.7878522412030954,0.14125753660637383,0.5711245122383825,0.0,283.0100415009074,MetaSMS,gemma3_4b_zero-shot_expert_cot,0,0,10000
0.0,0.0,0.42179067093029987,0.4985,0.6407082547749815,0.09782847115595525,0.526835286859963,0.0,288.41923553170636,MetaSMS,gemma3_4b_few-shot_expert_cot,0,0,10000
0.0,0.0,0.5816614422209206,0.872,0.9717357168740186,0.4249492900608519,0.34829931972789113,0.0,99.83712315093726,MetaSMS,qwen35_4b_zero-shot_basic_direct,0,0,10000
0.0,0.0,0.6648705721635378,0.8893,0.9711444007858546,0.37484433374844334,0.6486229819563153,0.0,112.19019004330039,MetaSMS,qwen35_4b_zero-shot_expert_direct,0,0,10000
0.0,0.0,0.6019063774499912,0.8414,0.9370289947630605,0.2508710801393728,0.6178190574475404,0.0,259.36738902004436,MetaSMS,qwen35_4b_zero-shot_expert_cot,0,0,10000
0.0,0.0,0.6003819727595222,0.8352,0.9315437965579245,0.2572614107883817,0.6123407109322603,0.0,319.53673464478925,MetaSMS,qwen35_4b_few-shot_expert_cot,0,0,10000
0.0,0.0,0.5647167321570211,0.7618,0.8927644278772549,0.2501637197118533,0.5512220488819553,0.0,36.969115963205695,MetaSMS,ministral_8b_zero-shot_basic_direct,0,0,10000
